shapeid,MP,Constituency,Region,Party,MP's Religion,Denomination,Lat,Long,Dominant Religion
97,Ato Samuel Amoah,Twifo-Atii Morkwaa,Central Region,NDC,Christian,Seventh- Day Adventist,5.368347984,-1.436602082,Christian
98,Nana Amoakoh,Upper Denkyira East,Central Region,NPP,Christian,Catholic,5.849061401,-1.754703171,Christian
99,Benjamin Kofi Ayeh,Upper Denkyira West,Central Region,NPP,Christian,LDS,6.126902301,-2.029283345,Christian
100,Bryan Acheampong,Abetifi,Eastern Region,NPP,Christian,,6.737793693,-0.769087498,Christian
101,Esther Obeng Dappah(Ms),Abirem,Eastern Region,NPP,Christian,Church of Pentecost,6.405173869,-0.969321551,Christian
102,Gifty Twum-Ampofo,Abuakwa North,Eastern Region,NPP,Christian,NA,6.189577099,-0.412611059,Christian
103,Samuel Atta Akyea,Abuakwa South,Eastern Region,NPP,Christian,ICGC,6.161982243,-0.544647426,Christian
104,Robert Kwasi Amoah,Achiase,Eastern Region,NPP,Christian,Presby,5.808786944,-1.096824798,Christian
105,Aboagye Emmanuel Didieye,Afram Plains North,Eastern Region,NDC,Christian,Presby,7.025584832,0.034832566,Christian
106,Joseph Appiah Boateng,Afram Plains South,Eastern Region,NDC,Christian,Church of Pentecost,6.842665424,-0.260567319,Christian
107,William Agyapong Quaittoo,Akim Oda,Eastern Region,NPP,Christian,Baptist,5.861199177,-0.903025927,Christian
108,Kennedy Nyarko Osei,Akim Swedru,Eastern Region,NPP,Christian,ICGC,5.855611034,-1.051899984,Christian
109,William Ofori Boafo,Akwapem North,Eastern Region,NPP,Christian,Presby,5.939642271,-0.181322632,Christian
110,Osei Bonsu Amoah,Akwapem South,Eastern Region,NPP,Christian,Methodist,5.844911713,-0.22960354,Christian
111,Baba Jamal Mohammed Ahmed,Akwatia,Eastern Region,NDC,Islam,,6.044815247,-0.799506051,Islam
112,Yaw Owusu-Boateng,Asene-Akroso-Manso,Eastern Region,NPP,Christian,Methodist,5.881804089,-0.804819253,Christian
113,Kofi Osei-Ameyaw,Asuogyaman,Eastern Region,NPP,Christian,,6.38532976,0.080023952,Christian
